Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=4, test_batch_size=4, epochs=2, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
  epoch 0, batch 4840, loss 3.241483
  epoch 0, batch 4880, loss 3.392569
  epoch 0, batch 4920, loss 3.781628
  epoch 0, batch 4960, loss 2.927277
  epoch 0, batch 5000, loss 2.901760
  epoch 0, batch 5040, loss 4.274548
  epoch 0, batch 5080, loss 3.368297
  epoch 0, batch 5120, loss 4.064374
  epoch 0, batch 5160, loss 2.994965
  epoch 0, batch 5200, loss 2.893015
  epoch 0, batch 5240, loss 3.574577
  epoch 0, batch 5280, loss 2.951309
  epoch 0, batch 5320, loss 3.654804
  epoch 0, batch 5360, loss 2.376206
  epoch 0, batch 5400, loss 3.285033
  epoch 0, batch 5440, loss 3.547824
  epoch 0, batch 5480, loss 3.719903
  epoch 0, batch 5520, loss 3.406664
  epoch 0, batch 5560, loss 2.818079
  epoch 0, batch 5600, loss 3.657585
  epoch 0, batch 5640, loss 3.527261
  epoch 0, batch 5680, loss 3.248323
  epoch 0, batch 5720, loss 3.558822
  epoch 0, batch 5760, loss 3.876002
  epoch 0, batch 5800, loss 3.117799
  epoch 0, batch 5840, loss 2.728977
  epoch 0, batch 5880, loss 3.737366
  epoch 0, batch 5920, loss 3.639123
  epoch 0, batch 5960, loss 4.004718
  epoch 0, batch 6000, loss 3.375386
  epoch 0, batch 6040, loss 3.562937
  epoch 0, batch 6080, loss 2.777994
  epoch 0, batch 6120, loss 2.635757
  epoch 0, batch 6160, loss 2.773698
  epoch 0, batch 6200, loss 2.753587
  epoch 0, batch 6240, loss 3.120068
  epoch 0, batch 6280, loss 3.944566
  epoch 0, batch 6320, loss 3.269288
  epoch 0, batch 6360, loss 3.031584
  epoch 0, batch 6400, loss 2.826298
  epoch 0, batch 6440, loss 2.843487
  epoch 0, batch 6480, loss 3.241740
  epoch 0, batch 6520, loss 3.427434
  epoch 0, batch 6560, loss 3.509185
  epoch 0, batch 6600, loss 3.002583
  epoch 0, batch 6640, loss 3.054704
  epoch 0, batch 6680, loss 2.930277
  epoch 0, batch 6720, loss 2.999487
  epoch 0, batch 6760, loss 3.904097
  epoch 0, batch 6800, loss 2.946634
  epoch 0, batch 6840, loss 4.063395
  epoch 0, batch 6880, loss 2.788445
  epoch 0, batch 6920, loss 3.291534
  epoch 0, batch 6960, loss 2.877857
  epoch 0, batch 7000, loss 3.927621
  epoch 0, batch 7040, loss 2.328524
  epoch 0, batch 7080, loss 3.745181
  epoch 0, batch 7120, loss 2.972179
  epoch 0, batch 7160, loss 2.768607
  epoch 0, batch 7200, loss 3.153628
  epoch 0, batch 7240, loss 3.835159
  epoch 0, batch 7280, loss 3.368059
  epoch 0, batch 7320, loss 4.052610
  epoch 0, batch 7360, loss 3.629292
  epoch 0, batch 7400, loss 3.785297
  epoch 0, batch 7440, loss 4.184745
  epoch 0, batch 7480, loss 3.090734
  epoch 0, batch 7520, loss 3.266029
  epoch 0, batch 7560, loss 2.301728
  epoch 0, batch 7600, loss 2.968254
  epoch 0, batch 7640, loss 3.333645
  epoch 0, batch 7680, loss 3.497385
  epoch 0, batch 7720, loss 3.272326
